variant	task	task_type	n_matched	task_size	coverage	mcc	f1	precision	fpr	tpr	tnr	auroc	auprc	precision_at_k	pauroc_01	pauroc_001	precision_at_k_k	n_samples	n_positive	n_negative	n_predicted_positive	errors	r2_log2	msl2e	rmsl2e	spearman
apex-saureus	holdout2026_regression_kpneumoniae	regression	186	186	1.0													186.0				0.0	-1.9622875132829622	8.324106288579669	2.885152732279466	0.050279644391867356
deep-amp-cnn-gramneg	holdout2026_regression_kpneumoniae	regression	186	186	1.0													186.0				0.0	-0.7114443136787121	4.809203802860597	2.1929896951104437	0.11597598257567308
deep-amp-cnn-grampos	holdout2026_regression_kpneumoniae	regression	186	186	1.0													186.0				0.0	-1.1150479768116663	5.943340774816937	2.4378967933070785	0.030530736168377943
deep-amp-lstm-gramneg	holdout2026_regression_kpneumoniae	regression	186	186	1.0													186.0				0.0	-2.4140094644647316	9.593456923067682	3.097330612490001	-0.11171927638411917
deep-amp-lstm-grampos	holdout2026_regression_kpneumoniae	regression	186	186	1.0													186.0				0.0	-0.8949632964827108	5.3248970000882725	2.307573834157484	0.06385669252272894
mbc-attention	holdout2026_regression_kpneumoniae	regression	186	186	1.0													186.0				0.0	-0.2605825505632837	3.5422703195978738	1.882092006145787	0.3379800533515179
sensexamp-ecoli	holdout2026_regression_kpneumoniae	regression	157	186	0.8440860215053764													157.0				0.0	-1.2386795700774802	5.829163321572784	2.414366028913757	0.08343667213631786
sensexamp-saureus	holdout2026_regression_kpneumoniae	regression	157	186	0.8440860215053764													157.0				0.0	-1.3370471411512703	6.085296733875151	2.4668394219882153	0.1827334516791366
ampredictor	holdout2026_regression_paeruginosa	regression	372	372	1.0													372.0				0.0	-0.5048479266588688	5.374007159590057	2.3181904925156727	0.16016397912702732
apex-abaumannii	holdout2026_regression_paeruginosa	regression	372	372	1.0													372.0				0.0	-0.6164700288325162	5.7726241664138	2.4026285951877373	0.029695936864141154
apex-ecoli	holdout2026_regression_paeruginosa	regression	372	372	1.0													372.0				0.0	-0.48977331531715795	5.320173766963962	2.306550187393277	0.10985300853328021
apex-kpneumoniae	holdout2026_regression_paeruginosa	regression	372	372	1.0													372.0				0.0	-1.3632318653422995	8.439407556827387	2.905065843802406	0.033964807398765264
apex-min	holdout2026_regression_paeruginosa	regression	372	372	1.0													372.0				0.0	-0.6163886987600589	5.7723337261746686	2.402568152243484	0.06309163943116211
apex-paeruginosa	holdout2026_regression_paeruginosa	regression	372	372	1.0													372.0				0.0	-0.7819869745874481	6.3637066510708165	2.522638826917325	0.15269994138304946
apex-saureus	holdout2026_regression_paeruginosa	regression	372	372	1.0													372.0				0.0	-1.3433105043252787	8.368265792375517	2.8927954978490127	0.03331588765940672
deep-amp-cnn-gramneg	holdout2026_regression_paeruginosa	regression	372	372	1.0													372.0				0.0	-0.5080717478207668	5.38551984316317	2.3206722825860546	0.21617897376680104
deep-amp-cnn-grampos	holdout2026_regression_paeruginosa	regression	372	372	1.0													372.0				0.0	-1.0004048901104312	7.143705361245688	2.6727711015434314	0.13191292764153187
deep-amp-lstm-gramneg	holdout2026_regression_paeruginosa	regression	372	372	1.0													372.0				0.0	-1.8833587161377223	10.296848013469132	3.208870208261645	-0.05740794547436431
deep-amp-lstm-grampos	holdout2026_regression_paeruginosa	regression	372	372	1.0													372.0				0.0	-0.9066105538103659	6.808753619029007	2.6093588520993056	0.04723650233020673
mbc-attention	holdout2026_regression_paeruginosa	regression	372	372	1.0													372.0				0.0	-0.1862067766445108	4.236098277780934	2.058178388230946	0.35767983669094233
sensexamp-ecoli	holdout2026_regression_paeruginosa	regression	334	372	0.8978494623655914													334.0				0.0	-0.9351973783007272	6.745580561826475	2.5972255508188877	0.20873046113530974
sensexamp-saureus	holdout2026_regression_paeruginosa	regression	334	372	0.8978494623655914													334.0				0.0	-1.497766365293895	8.70654561164467	2.950685617215882	0.13800282338423284
ampredictor	holdout2026_regression_saureus	regression	449	449	1.0													449.0				0.0	-0.19011623635418418	6.109826391720429	2.4718063014161182	0.15799457791652152
apex-abaumannii	holdout2026_regression_saureus	regression	448	449	0.9977728285077951													448.0				0.0	-0.7317089918825193	8.887298857776571	2.981157301749871	0.06272601786360271
apex-ecoli	holdout2026_regression_saureus	regression	448	449	0.9977728285077951													448.0				0.0	-0.7746390305795918	9.107619988904982	3.0178833623758528	0.07943925218015907
apex-kpneumoniae	holdout2026_regression_saureus	regression	448	449	0.9977728285077951													448.0				0.0	-1.3938246144213076	12.285340586201228	3.505045019140443	0.009303187806941152
apex-min	holdout2026_regression_saureus	regression	448	449	0.9977728285077951													448.0				0.0	-0.6764381416825873	8.603643482564706	2.9331968025628123	0.013189653261821982
apex-paeruginosa	holdout2026_regression_saureus	regression	448	449	0.9977728285077951													448.0				0.0	-1.1479820488844257	11.02365264548456	3.3201886460688588	0.009206241359892743
apex-saureus	holdout2026_regression_saureus	regression	448	449	0.9977728285077951													448.0				0.0	-1.274883239795019	11.674921891250948	3.416858482766143	0.06427974127393933
deep-amp-cnn-gramneg	holdout2026_regression_saureus	regression	448	449	0.9977728285077951													448.0				0.0	-0.48929975491100053	7.643231092955712	2.7646394146354263	0.14659680936919542
deep-amp-cnn-grampos	holdout2026_regression_saureus	regression	448	449	0.9977728285077951													448.0				0.0	-1.0202426722512299	10.368081749123292	3.2199505817827845	-0.05109976056195494
deep-amp-lstm-gramneg	holdout2026_regression_saureus	regression	448	449	0.9977728285077951													448.0				0.0	-0.9045717114264662	9.774447135666493	3.1264112230585557	0.2466771264479006
deep-amp-lstm-grampos	holdout2026_regression_saureus	regression	448	449	0.9977728285077951													448.0				0.0	-0.9051575177453557	9.777453550631796	3.126891995357658	0.050986441188886275
mbc-attention	holdout2026_regression_saureus	regression	449	449	1.0													449.0				0.0	-0.6338711988344212	8.387978473339267	2.8962006963156517	-0.05860672158849143
sensexamp-ecoli	holdout2026_regression_saureus	regression	372	449	0.8285077951002228													372.0				0.0	-0.4761952808591121	7.281624478798534	2.6984485318046247	0.32184340117069454
sensexamp-saureus	holdout2026_regression_saureus	regression	372	449	0.8285077951002228													372.0				0.0	-0.5916319594821913	7.851038671969388	2.8019704980547866	0.34019235102566364
ampredictor	regression_ecoli25922	regression	2531	2531	1.0													2531.0				0.0	0.22539904561832746	3.0467770925732114	1.7455019600599742	0.5172357484866066
apex-abaumannii	regression_ecoli25922	regression	2525	2531	0.9976293954958514													2525.0				0.0	-0.730391708327712	6.792305995745611	2.6062052865700376	0.2593944242583492
apex-ecoli	regression_ecoli25922	regression	2525	2531	0.9976293954958514													2525.0				0.0	-0.909317600703742	7.494643741431155	2.737634698317355	0.24751890845224472
apex-kpneumoniae	regression_ecoli25922	regression	2525	2531	0.9976293954958514													2525.0				0.0	-1.831684557877593	11.115210450886908	3.333948177594683	0.03578543307905707
apex-min	regression_ecoli25922	regression	2525	2531	0.9976293954958514													2525.0				0.0	-0.3405358817708031	5.262005049748847	2.2939060682052452	0.23456623449093042
apex-paeruginosa	regression_ecoli25922	regression	2525	2531	0.9976293954958514													2525.0				0.0	-1.346662211924734	9.21135239803597	3.0350209880717416	0.2318977567608567
apex-saureus	regression_ecoli25922	regression	2525	2531	0.9976293954958514													2525.0				0.0	-1.7557917046361324	10.817308259362658	3.2889676586069765	0.07577365891883181
deep-amp-cnn-gramneg	regression_ecoli25922	regression	2521	2531	0.9960489924930858													2521.0				0.0	-0.12330458835845515	4.407708733897592	2.0994543895730606	0.32456155111641594
deep-amp-cnn-grampos	regression_ecoli25922	regression	2521	2531	0.9960489924930858													2521.0				0.0	-0.48367369899435797	5.821752700991142	2.412830847985648	0.2091818319087623
deep-amp-lstm-gramneg	regression_ecoli25922	regression	2521	2531	0.9960489924930858													2521.0				0.0	-1.1480715759625828	8.428768069258616	2.9032340706974726	0.193901211089959
deep-amp-lstm-grampos	regression_ecoli25922	regression	2521	2531	0.9960489924930858													2521.0				0.0	-0.4714859279805661	5.773929389931103	2.402900203905918	0.3070521846194473
mbc-attention	regression_ecoli25922	regression	2527	2531	0.9984195969972343													2527.0				0.0	0.23253380698263237	3.0168054375474638	1.7368953444429125	0.5319452933013339
sensexamp-ecoli	regression_ecoli25922	regression	2111	2531	0.834057684709601													2111.0				0.0	-0.1413358106749114	4.468317516486426	2.113839520040825	0.48290415561782496
sensexamp-saureus	regression_ecoli25922	regression	2111	2531	0.834057684709601													2111.0				0.0	-0.6376821364197691	6.411508083912803	2.5320955913852865	0.3843999728881727
ampredictor	regression_saureus25923	regression	1568	1568	1.0													1568.0				0.0	-0.02402061718927495	4.910885991811207	2.2160518928516106	0.32237458764598464
apex-abaumannii	regression_saureus25923	regression	1565	1568	0.9980867346938775													1565.0				0.0	-0.3731944348113736	6.564101151787997	2.562050185259453	0.30652368000160113
apex-ecoli	regression_saureus25923	regression	1565	1568	0.9980867346938775													1565.0				0.0	-0.439517163330037	6.881134987363424	2.6231917557364013	0.3340315130505822
apex-kpneumoniae	regression_saureus25923	regression	1565	1568	0.9980867346938775													1565.0				0.0	-1.1742812195293992	10.393431181786296	3.2238844864210465	0.17516015073669286
apex-min	regression_saureus25923	regression	1565	1568	0.9980867346938775													1565.0				0.0	-0.06318455774844667	5.082201619203641	2.254373886293851	0.3446113789660167
apex-paeruginosa	regression_saureus25923	regression	1565	1568	0.9980867346938775													1565.0				0.0	-0.8469331380471465	8.828652105916822	2.9713047817275196	0.28805827020457125
apex-saureus	regression_saureus25923	regression	1565	1568	0.9980867346938775													1565.0				0.0	-0.9965040589099678	9.543626350656243	3.0892760237078596	0.3010779330448529
deep-amp-cnn-gramneg	regression_saureus25923	regression	1563	1568	0.9968112244897959													1563.0				0.0	0.12220349807887776	4.191100283074212	2.0472176931323673	0.5323448861309763
deep-amp-cnn-grampos	regression_saureus25923	regression	1563	1568	0.9968112244897959													1563.0				0.0	-0.5048526005799556	7.1850231192221745	2.6804893432398074	0.1735319995407419
deep-amp-lstm-gramneg	regression_saureus25923	regression	1563	1568	0.9968112244897959													1563.0				0.0	-0.5946363846602469	7.613702023787001	2.759293754529771	0.3914346790159605
deep-amp-lstm-grampos	regression_saureus25923	regression	1563	1568	0.9968112244897959													1563.0				0.0	-0.393925623550919	6.655394573415168	2.579805142528243	0.2911243414592917
mbc-attention	regression_saureus25923	regression	1563	1568	0.9968112244897959													1563.0				0.0	0.005819527340005792	4.767911090527176	2.1835546914440167	0.3633816091128799
sensexamp-ecoli	regression_saureus25923	regression	1342	1568	0.8558673469387755													1342.0				0.0	-0.2446626952447022	5.6712159400452835	2.3814314896812134	0.36724738252004435
sensexamp-saureus	regression_saureus25923	regression	1342	1568	0.8558673469387755													1342.0				0.0	-0.19139641694498732	5.428511978791876	2.3299167321584426	0.47840057226294785
